Customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,sales_channel,vehicle_class
BU79786,Washington,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Agent,Two-Door Car
QZ44356,Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
AI49188,Nevada,No,Premium,Bachelor,2/19/11,Employed,F,Suburban,Married,Personal Auto,Agent,Two-Door Car
WW63253,California,No,Basic,Bachelor,1/20/11,Unemployed,M,Suburban,Married,Corporate Auto,Call Center,SUV
HB64268,Washington,No,Basic,Bachelor,2/3/11,Employed,M,Rural,Single,Personal Auto,Agent,Four-Door Car
OC83172,Oregon,Yes,Basic,Bachelor,1/25/11,Employed,F,Rural,Married,Personal Auto,Web,Two-Door Car
XZ87318,Oregon,Yes,Basic,College,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Agent,Four-Door Car
CF85061,Arizona,No,Premium,Master,1/18/11,Unemployed,M,Urban,Single,Corporate Auto,Agent,Four-Door Car
DY87989,Oregon,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Corporate Auto,Agent,Four-Door Car
BQ94931,Oregon,No,Extended,College,2/17/11,Employed,F,Urban,Married,Special Auto,Branch,Four-Door Car
SX51350,California,No,Basic,College,2/21/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
VQ65197,California,No,Basic,College,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Agent,SUV
DP39365,California,No,Premium,Master,2/6/11,Employed,M,Urban,Married,Corporate Auto,Agent,Four-Door Car
SJ95423,Arizona,Yes,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate Auto,Branch,SUV
IL66569,California,No,Basic,College,1/18/11,Employed,M,Urban,Single,Corporate Auto,Call Center,Four-Door Car
BW63560,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Branch,Four-Door Car
FV94802,Nevada,No,Basic,High School or Below,2/6/11,Medical Leave,M,Suburban,Married,Personal Auto,Call Center,Two-Door Car
OE15005,California,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal Auto,Call Center,SUV
WC83389,Oregon,No,Basic,College,2/27/11,Employed,M,Urban,Married,Personal Auto,Branch,Four-Door Car
FL50705,California,No,Premium,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
ZK25313,Oregon,No,Basic,High School or Below,2/19/11,Employed,M,Suburban,Single,Personal Auto,Branch,Two-Door Car
SV62436,Washington,No,Extended,Bachelor,1/21/11,Disabled,F,Suburban,Divorced,Personal Auto,Call Center,Four-Door Car
YH23384,Arizona,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
TZ98966,Nevada,No,Basic,Bachelor,2/24/11,Unemployed,F,Suburban,Single,Corporate Auto,Branch,Four-Door Car
HM55802,California,No,Basic,Bachelor,2/5/11,Disabled,F,Suburban,Married,Corporate Auto,Branch,Four-Door Car
FS42516,Oregon,No,Basic,College,1/29/11,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
US89481,California,No,Premium,Bachelor,2/28/11,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
HO30839,Washington,No,Extended,Master,2/12/11,Disabled,F,Urban,Married,Corporate Auto,Branch,SUV
GE62437,Arizona,No,Premium,College,2/2/11,Employed,F,Suburban,Single,Personal Auto,Call Center,Four-Door Car
EJ77678,Oregon,No,Extended,Master,2/7/11,Employed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
SV85652,Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
UL64533,Nevada,No,Extended,High School or Below,1/22/11,Employed,M,Urban,Married,Corporate Auto,Agent,Luxury SUV
PF41800,California,No,Basic,Bachelor,1/25/11,Unemployed,M,Urban,Married,Personal Auto,Call Center,Four-Door Car
AO98601,Washington,No,Basic,Bachelor,1/18/11,Employed,M,Suburban,Married,Corporate Auto,Agent,Two-Door Car
SK67821,Oregon,No,Basic,Bachelor,2/13/11,Employed,F,Rural,Married,Corporate Auto,Web,Four-Door Car
YV55495,Arizona,No,Basic,High School or Below,1/15/11,Employed,F,Urban,Married,Personal Auto,Branch,Four-Door Car
KY38074,California,No,Premium,Bachelor,1/8/11,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
DM79012,Oregon,No,Extended,Master,2/6/11,Employed,F,Suburban,Married,Personal Auto,Web,Four-Door Car
CM61827,Oregon,No,Extended,Bachelor,1/25/11,Unemployed,M,Suburban,Single,Personal Auto,Agent,Two-Door Car
WC35801,Arizona,No,Basic,High School or Below,2/7/11,Employed,M,Rural,Divorced,Personal Auto,Call Center,Four-Door Car
QG25316,Nevada,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Corporate Auto,Call Center,Two-Door Car
MB98372,Oregon,Yes,Basic,College,1/11/11,Employed,F,Rural,Single,Corporate Auto,Agent,Two-Door Car
IL19217,California,Yes,Extended,Bachelor,1/28/11,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
SR38658,Arizona,No,Basic,High School or Below,2/8/11,Employed,M,Suburban,Married,Personal Auto,Agent,Sports Car
DH41343,Washington,No,Basic,College,2/23/11,Employed,M,Suburban,Married,Special Auto,Call Center,Four-Door Car
HG65722,Oregon,No,Premium,Doctor,1/25/11,Disabled,F,Rural,Married,Personal Auto,Branch,SUV
BU27331,Arizona,No,Basic,Bachelor,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
XM45289,Oregon,No,Basic,High School or Below,1/2/11,Employed,F,Suburban,Single,Personal Auto,Agent,Two-Door Car
KP34198,California,No,Extended,Bachelor,2/7/11,Unemployed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
SH90947,Arizona,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
WE95729,Oregon,No,Basic,College,1/17/11,Employed,M,Suburban,Married,Personal Auto,Agent,SUV
PY51963,California,Yes,Basic,Bachelor,1/11/11,Employed,F,Suburban,Divorced,Corporate Auto,Web,SUV
RB69909,Nevada,No,Basic,High School or Below,2/21/11,Employed,F,Rural,Married,Special Auto,Branch,Four-Door Car
XR95069,Washington,No,Basic,Bachelor,2/16/11,Employed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
FR46645,California,No,Premium,Bachelor,1/17/11,Disabled,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
SY17488,Arizona,No,Extended,College,2/5/11,Employed,F,Suburban,Divorced,Corporate Auto,Call Center,Four-Door Car
AP67935,California,No,Basic,College,2/13/11,Employed,M,Urban,Married,Special Auto,Branch,Four-Door Car
FS37417,Arizona,No,Basic,High School or Below,2/23/11,Unemployed,F,Suburban,Married,Personal Auto,Call Center,SUV
ML29312,Oregon,No,Extended,High School or Below,1/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Call Center,SUV
