Customer,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
BU79786,56274,69,32,5,0,1
QZ44356,0,94,13,42,0,8
AI49188,48767,108,18,38,0,2
WW63253,0,106,18,65,0,7
HB64268,43836,73,12,44,0,1
OC83172,62902,69,14,94,0,2
XZ87318,55350,67,0,13,0,9
CF85061,0,101,0,68,0,4
DY87989,14072,71,13,3,0,2
BQ94931,28812,93,17,7,0,8
SX51350,0,67,23,5,0,3
VQ65197,0,110,27,87,0,3
DP39365,77026,110,9,82,2,3
SJ95423,99845,110,23,25,1,8
IL66569,83689,70,21,10,2,8
BW63560,24599,64,12,50,1,2
FV94802,25049,67,14,7,0,1
OE15005,28855,101,12,59,0,1
WC83389,51148,72,9,1,0,7
FL50705,66140,101,11,21,0,3
ZK25313,57749,74,31,21,0,1
SV62436,13789,79,8,49,0,1
YH23384,14072,71,13,3,0,2
TZ98966,0,73,4,44,3,1
HM55802,17870,61,30,91,0,1
FS42516,97541,72,22,1,0,3
US89481,0,111,15,47,0,1
HO30839,10511,139,33,64,0,1
GE62437,86584,111,33,54,2,2
EJ77678,75690,80,17,44,1,1
SV85652,23158,63,4,6,1,1
UL64533,65999,237,1,14,0,6
PF41800,0,65,19,56,0,3
AO98601,54500,63,28,17,0,6
SK67821,37260,62,19,42,0,8
YV55495,68987,71,11,40,0,6
KY38074,42305,117,10,62,0,2
DM79012,65706,91,19,86,0,8
CM61827,0,90,7,79,0,1
WC35801,53243,66,4,15,2,1
QG25316,0,70,7,1,1,1
MB98372,50071,71,3,32,0,1
IL19217,60021,99,12,28,0,1
SR38658,43244,103,15,16,0,2
DH41343,92834,61,15,56,0,1
HG65722,10105,172,5,4,3,3
BU27331,0,73,7,57,3,5
XM45289,23218,71,7,10,0,4
KP34198,0,92,11,77,0,1
SH90947,0,62,11,56,0,1
WE95729,24804,104,1,28,0,2
PY51963,33190,106,18,95,0,2
RB69909,36014,69,4,40,3,2
XR95069,29834,64,19,44,0,3
FR46645,16701,113,20,26,0,1
SY17488,46623,91,1,53,0,3
AP67935,64749,64,24,59,0,2
FS37417,0,101,29,12,0,1
ML29312,16969,124,34,47,2,1
UB61619,11621,108,4,98,0,1
CD86811,17622,65,1,36,1,3
RU83859,11489,105,4,50,0,6
FG63582,0,94,20,53,0,1
NN71951,66525,100,0,86,0,2
WB37082,0,63,21,28,0,2
SM52139,33663,73,29,71,0,1
FL82372,22547,112,7,60,0,3
DP45816,61486,97,5,65,0,2
GW33762,0,95,13,20,0,5
RZ33670,29879,102,17,0,0,2
PY70169,93011,113,17,12,0,2
MO91628,65186,65,29,27,0,1
HW87852,26840,64,1,47,2,1
HB20453,0,104,30,3,1,5
BN87372,75644,65,5,68,3,9
YX23800,38984,73,27,38,0,2
DZ87709,71811,71,17,48,0,6
XW13033,20961,67,20,33,0,2
LN31673,38923,99,6,83,2,2
OM82309,61321,186,0,30,1,2
ZU35962,0,77,20,26,0,2
VH85817,51066,74,23,0,0,8
DT85712,34378,102,12,54,0,1
YJ88573,43072,63,35,15,0,1
SQ19467,25222,90,28,69,0,3
HF88410,36765,66,15,32,1,2
ET79815,23091,96,28,90,5,5
QC35222,48269,69,3,79,3,1
CJ15590,32720,67,13,12,0,1
OI48267,20396,76,15,60,1,4
JY67916,21513,119,21,81,1,2
OE75231,72540,88,7,3,0,2
CZ33664,80744,63,24,84,0,1
WK30175,52822,67,23,88,0,1
ON44465,0,77,8,10,1,9
TV87155,69738,74,2,26,1,2
KH48895,17780,109,12,18,0,9
NZ30757,18107,62,29,11,0,8
RI22468,57740,74,30,87,3,9
FZ30935,32627,76,11,60,0,7
UG93476,0,107,3,65,0,3
AB96670,0,70,24,10,0,1
XK64261,65795,62,2,85,1,3
EV68375,60475,107,9,18,0,1
UN51653,0,130,28,88,0,4
TO96662,41837,88,29,93,0,9
MR52087,32303,65,13,34,0,2
DE75225,0,117,5,89,1,3
EP80820,40531,74,17,32,0,9
GU99037,79898,62,5,86,1,1
WI57118,56398,85,4,18,0,7
YQ74870,35257,98,16,2,1,8
MQ14219,27804,109,19,54,0,7
KN20603,45506,66,16,32,2,2
CR48975,65196,67,0,54,0,2
JI70886,0,102,11,70,1,3
VF72557,20993,133,35,90,0,1
OX28638,37839,86,35,77,0,9
SK55033,92711,62,24,10,0,1
OO88645,74665,78,10,90,2,1
YT36855,0,83,26,89,0,1
CW82151,46833,112,6,3,0,9
DY22043,88768,68,17,77,0,7
SH36774,28262,192,9,77,0,3
EM43724,33555,63,17,11,0,1
FH85960,42780,113,10,27,1,2
XA55993,58850,78,20,26,0,1
GO36627,21880,97,29,37,0,1
QH48047,25251,66,13,43,0,2
RB50392,0,69,9,12,0,2
UH65059,24188,109,14,82,0,1
FV21968,41611,74,14,8,0,8
QA87025,28406,72,16,35,1,4
TQ13499,69833,118,32,99,0,1
BU44523,0,74,15,91,0,2
MS41162,0,117,6,1,0,1
PU25891,80536,119,5,83,0,3
RB81636,0,63,2,5,0,1
SX26335,97732,79,0,70,0,2
AZ95587,61222,89,20,55,0,2
DS81757,0,74,7,20,0,1
OJ94107,50335,140,9,54,0,1
LP84436,0,127,30,11,0,6
YV64727,63221,168,28,49,0,1
LM19287,0,96,31,34,0,1
ZU18643,64495,92,34,30,0,1
AZ82578,0,72,7,75,0,2
XC67861,28859,67,24,51,3,4
YC43143,77330,99,0,21,0,3
EK59571,0,105,3,92,0,1
GD83998,24495,70,29,65,0,1
WA25797,95697,107,29,29,0,9
PD27940,26372,126,11,7,0,1
BS77946,17514,127,2,5,0,3
YM50253,89270,74,17,90,0,1
NR15332,29757,65,13,55,0,1
RC62865,51814,92,28,89,0,1
CC15295,24028,82,14,27,0,2
KA61892,28142,105,18,50,0,1
OS94884,52705,64,14,8,1,2
ND87334,0,63,1,5,0,1
ML93326,84903,111,7,63,0,1
YL74911,0,118,14,64,0,4
JP69864,24910,63,7,63,1,1
HL53154,0,77,15,12,2,2
RI78966,21876,68,12,28,0,2
IC13702,0,69,33,61,1,2
BE10809,0,61,17,1,1,7
HT87217,70699,82,1,57,0,2
TH95618,0,74,11,85,1,2
TS19868,27501,63,20,0,0,1
LP45550,15897,101,30,99,0,2
QR87004,25141,73,12,4,1,2
OE75747,0,61,5,46,3,1
DX91392,51066,74,23,0,0,8
AB72731,28358,117,24,37,0,1
RU49126,61846,112,1,48,0,1
IS12901,90972,74,3,47,0,8
IX37561,0,74,3,95,0,7
HH90090,29549,104,17,51,0,1
IU25463,0,115,12,17,1,2
KC11055,39411,217,4,29,2,4
PD33979,21709,62,28,17,0,3
NK71023,67890,85,23,57,0,2
AB13432,0,110,3,16,0,1
OZ97704,84311,111,11,98,4,2
UF46533,99316,114,26,53,0,1
XP47431,54507,138,20,11,0,1
GK73582,64586,76,3,17,0,1
RV98763,61709,82,5,41,2,7
II62831,94656,111,12,79,1,1
XK33449,0,69,5,40,0,1
