state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize
California,No,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize
California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize
