,customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,sales_channel,vehicle_class,vehicle_size,Effective To Date,year_effective_to_date,month_effective_to_date
0,BU79786,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Agent,Two-Door Car,Medsize,2011-02-24,2011,02
1,QZ44356,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-01-31,2011,01
2,AI49188,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Agent,Two-Door Car,Medsize,2011-02-19,2011,02
3,WW63253,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Call Center,SUV,Medsize,2011-01-20,2011,01
4,HB64268,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L1,Agent,Four-Door Car,Medsize,2011-02-03,2011,02
5,OC83172,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Web,Two-Door Car,Medsize,2011-01-25,2011,01
6,XZ87318,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Agent,Four-Door Car,Medsize,2011-02-24,2011,02
7,CF85061,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Agent,Four-Door Car,Medsize,2011-01-18,2011,01
8,DY87989,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,Corporate L3,Agent,Four-Door Car,Medsize,2011-01-26,2011,01
9,BQ94931,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Special L2,Branch,Four-Door Car,Medsize,2011-02-17,2011,02
10,SX51350,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-02-21,2011,02
11,VQ65197,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Agent,SUV,Medsize,2011-01-06,2011,01
12,DP39365,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Agent,Four-Door Car,Medsize,2011-02-06,2011,02
13,SJ95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Branch,SUV,Medsize,2011-01-10,2011,01
14,IL66569,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L3,Call Center,Four-Door Car,Medsize,2011-01-18,2011,01
15,BW63560,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Branch,Four-Door Car,Medsize,2011-01-17,2011,01
16,FV94802,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Call Center,Two-Door Car,Medsize,2011-02-06,2011,02
17,OE15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Call Center,SUV,Medsize,2011-01-05,2011,01
18,WC83389,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Branch,Four-Door Car,Medsize,2011-02-27,2011,02
19,FL50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Call Center,Four-Door Car,Small,2011-01-14,2011,01
20,ZK25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Branch,Two-Door Car,Medsize,2011-02-19,2011,02
21,SV62436,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-01-21,2011,01
22,YH23384,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Agent,Four-Door Car,Medsize,2011-01-26,2011,01
23,TZ98966,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Branch,Four-Door Car,Medsize,2011-02-24,2011,02
24,HM55802,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Corporate L2,Branch,Four-Door Car,Medsize,2011-02-05,2011,02
25,FS42516,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Call Center,Four-Door Car,Large,2011-01-29,2011,01
26,US89481,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-02-28,2011,02
27,HO30839,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,Branch,SUV,Medsize,2011-02-12,2011,02
28,GE62437,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L3,Call Center,Four-Door Car,Large,2011-02-02,2011,02
29,EJ77678,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Branch,Four-Door Car,Small,2011-02-07,2011,02
30,SV85652,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Call Center,Four-Door Car,Small,2011-02-28,2011,02
31,UL64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Agent,Luxury SUV,Medsize,2011-01-22,2011,01
32,PF41800,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Call Center,Four-Door Car,Medsize,2011-01-25,2011,01
33,AO98601,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Agent,Two-Door Car,Small,2011-01-18,2011,01
34,SK67821,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Web,Four-Door Car,Medsize,2011-02-13,2011,02
35,YV55495,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Branch,Four-Door Car,Medsize,2011-01-15,2011,01
36,KY38074,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Agent,Four-Door Car,Small,2011-01-08,2011,01
