,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_date,year_effective_to_date,month_effective_to_date
0,BU,79786,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-24,2011,02
1,QZ,44356,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-31,2011,01
2,AI,49188,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-19,2011,02
3,WW,63253,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Call Center,SUV,Medsize,2011-01-20,2011,01
4,HB,64268,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-03,2011,02
5,OC,83172,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Medsize,2011-01-25,2011,01
6,XZ,87318,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-24,2011,02
7,CF,85061,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-18,2011,01
8,DY,87989,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-26,2011,01
9,BQ,94931,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-17,2011,02
10,SX,51350,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-21,2011,02
11,VQ,65197,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,SUV,Medsize,2011-01-06,2011,01
12,DP,39365,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-06,2011,02
13,SJ,95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,SUV,Medsize,2011-01-10,2011,01
14,IL,66569,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-18,2011,01
15,BW,63560,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-01-17,2011,01
16,FV,94802,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-02-06,2011,02
17,OE,15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,2,3,Call Center,SUV,Medsize,2011-01-05,2011,01
18,WC,83389,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-27,2011,02
19,FL,50705,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small,2011-01-14,2011,01
20,ZK,25313,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize,2011-02-19,2011,02
21,SV,62436,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-21,2011,01
22,YH,23384,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-26,2011,01
23,TZ,98966,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-24,2011,02
24,HM,55802,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-05,2011,02
25,FS,42516,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large,2011-01-29,2011,01
26,US,89481,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-28,2011,02
27,HO,30839,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,1,1,Branch,SUV,Medsize,2011-02-12,2011,02
28,GE,62437,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Large,2011-02-02,2011,02
29,EJ,77678,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-07,2011,02
30,SV,85652,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Small,2011-02-28,2011,02
31,UL,64533,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,2,2,Agent,Luxury SUV,Medsize,2011-01-22,2011,01
