index,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer__lifetime__value,income,monthly__premium__auto,months__since__last__claim,months__since__policy__inception,number_of__open__complaints,number_of__policies
0,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,2763.519279,56274,69,32,5,0,1
1,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,6979.535903,0,94,13,42,0,8
2,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,12887.43165,48767,108,18,38,0,2
3,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize,7645.861827,0,106,18,65,0,7
4,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,2813.692575,43836,73,12,44,0,1
5,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,8256.2978,62902,69,14,94,0,2
6,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,5380.898636,55350,67,0,13,0,9
7,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,7216.100311,0,101,0,68,0,4
9,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,7388.178085,28812,93,17,7,0,8
10,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,4738.992022,0,67,23,5,0,3
11,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,8197.197078,0,110,27,87,0,3
12,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,8798.797003,77026,110,9,82,2,3
13,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize,8819.018934,99845,110,23,25,1,8
14,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,5384.431665,83689,70,21,10,2,8
15,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,7463.139377,24599,64,12,50,1,2
16,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,2566.867823,25049,67,14,7,0,1
17,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize,3945.241604,28855,101,12,59,0,1
18,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,5710.333115,51148,72,9,1,0,7
19,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Small,8162.617053,66140,101,11,21,0,3
20,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize,2872.051273,57749,74,31,21,0,1
21,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,3041.791561,13789,79,8,49,0,1
23,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,2450.190996,0,73,4,44,3,1
24,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,2392.10789,17870,61,30,91,0,1
25,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,5802.065978,97541,72,22,1,0,3
26,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,3946.372085,0,111,15,47,0,1
27,Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,SUV,Medsize,5346.916576,10511,139,33,64,0,1
28,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large,12902.56014,86584,111,33,54,2,2
29,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,3235.360468,75690,80,17,44,1,1
30,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small,2454.58354,23158,63,4,6,1,1
32,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,4715.321344,0,65,19,56,0,3
33,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small,5018.885233,54500,63,28,17,0,6
34,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize,4932.916345,37260,62,19,42,0,8
35,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,5744.229745,68987,71,11,40,0,6
36,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,13891.73567,42305,117,10,62,0,2
37,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small,7380.976717,65706,91,19,86,0,8
38,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small,3090.034104,0,90,7,79,0,1
39,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,2521.633095,53243,66,4,15,2,1
40,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize,2652.061785,0,70,7,1,1,1
41,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize,2771.045031,50071,71,3,32,0,1
42,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,3939.00637,60021,99,12,28,0,1
43,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Sports Car,Medsize,12231.87968,43244,103,15,16,0,2
44,Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large,2443.665166,92834,61,15,56,0,1
46,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,4468.510542,0,73,7,57,3,5
