,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,coverage,employmentstatus,location_code,vehicle_size,year_effective_to_date,month_effective_to_date,0,1,2,3,4,0,1,2,0,1,2,year_effective_to_date,month_effective_to_date
0,2763.519279,56274,69,32,5,0,1,384.811147,0,0,0,0,2011,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2011,2
1,6979.535903,0,94,13,42,0,8,1131.464935,1,1,0,0,2011,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2011,1
2,12887.43165,48767,108,18,38,0,2,566.472247,2,0,0,0,2011,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2011,2
3,7645.861827,0,106,18,65,0,7,529.881344,0,1,0,0,2011,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2011,1
4,2813.692575,43836,73,12,44,0,1,138.130879,0,0,1,0,2011,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2011,2
5,8256.2978,62902,69,14,94,0,2,159.383042,0,0,1,0,2011,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2011,1
6,5380.898636,55350,67,0,13,0,9,321.6,0,0,0,0,2011,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2011,2
7,7216.100311,0,101,0,68,0,4,363.02968,2,1,2,0,2011,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2011,1
8,24127.50402,14072,71,13,3,0,2,511.2,0,2,0,0,2011,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2011,1
9,7388.178085,28812,93,17,7,0,8,425.527834,1,0,2,0,2011,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2011,2
10,4738.992022,0,67,23,5,0,3,482.4,0,1,0,1,2011,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2011,2
11,8197.197078,0,110,27,87,0,3,528.0,0,1,0,0,2011,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2011,1
12,8798.797003,77026,110,9,82,2,3,472.029737,2,0,2,0,2011,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2011,2
