,number_of_open_complaints,number_of_policies
0,0,1
1,0,8
2,0,2
3,0,7
4,0,1
5,0,2
6,0,9
7,0,4
8,0,2
9,0,8
10,0,3
11,0,3
12,2,3
13,1,8
14,2,8
15,1,2
16,0,1
17,0,1
18,0,7
19,0,3
20,0,1
21,0,1
22,0,2
23,3,1
24,0,1
25,0,3
26,0,1
27,0,1
28,2,2
29,1,1
30,1,1
31,0,6
32,0,3
33,0,6
34,0,8
35,0,6
36,0,2
37,0,8
38,0,1
39,2,1
40,1,1
41,0,1
42,0,1
43,0,2
44,0,1
45,3,3
46,3,5
47,0,4
48,0,1
49,0,1
50,0,2
51,0,2
52,3,2
53,0,3
54,0,1
55,0,3
56,0,2
57,0,1
58,2,1
59,0,1
60,1,3
61,0,6
62,0,1
63,0,2
64,0,2
65,0,1
66,0,3
67,0,2
68,0,5
69,0,2
70,0,2
71,0,1
72,2,1
73,1,5
74,3,9
75,0,2
76,0,6
77,0,2
78,2,2
79,1,2
80,0,2
81,0,8
82,0,1
83,0,1
84,0,3
85,1,2
86,5,5
87,3,1
88,0,1
89,1,4
90,1,2
91,0,2
92,0,1
93,0,1
94,1,9
95,1,2
96,0,9
97,0,8
98,3,9
99,0,7
100,0,3
101,0,1
102,1,3
103,0,1
104,0,4
105,0,9
106,0,2
107,1,3
108,0,9
109,1,1
110,0,7
111,1,8
112,0,7
113,2,2
114,0,2
115,1,3
116,0,1
117,0,9
118,0,1
119,2,1
120,0,1
121,0,9
122,0,7
123,0,3
124,0,1
125,1,2
126,0,1
127,0,1
128,0,2
129,0,2
130,0,1
131,0,8
132,1,4
133,0,1
134,0,2
135,0,1
136,0,3
137,0,1
138,0,2
139,0,2
140,0,1
141,0,1
142,0,6
143,0,1
144,0,1
145,0,1
146,0,2
147,3,4
148,0,3
149,0,1
150,0,1
151,0,9
152,0,1
153,0,3
154,0,1
155,0,1
156,0,1
157,0,2
158,0,1
159,1,2
160,0,1
161,0,1
162,0,4
163,1,1
164,2,2
165,0,2
166,1,2
167,1,7
168,0,2
169,1,2
170,0,1
171,0,2
172,1,2
173,3,1
174,0,8
175,0,1
176,0,1
177,0,8
178,0,7
179,0,1
180,1,2
181,2,4
182,0,3
183,0,2
184,0,1
185,4,2
186,0,1
187,0,1
188,0,1
189,2,7
190,1,1
191,0,1
192,1,1
193,3,2
194,0,2
195,0,1
196,0,1
197,2,1
198,1,2
199,1,4
200,0,3
201,3,1
202,0,1
203,0,7
204,3,7
205,0,2
206,0,1
207,0,3
208,0,3
209,0,3
210,0,1
211,0,5
212,0,2
213,0,3
214,0,1
215,0,3
216,0,1
217,0,6
218,0,3
219,0,1
220,0,3
221,0,8
222,0,9
223,0,7
224,0,2
225,0,5
226,0,9
227,0,1
228,2,9
229,0,9
230,0,5
231,0,2
232,0,2
233,0,1
234,0,8
235,0,8
236,0,2
237,0,3
238,0,1
239,1,1
240,0,3
241,0,2
242,0,4
243,5,5
244,5,1
245,0,1
246,0,3
247,2,2
248,0,1
249,0,2
250,0,1
251,0,2
252,0,8
253,1,3
254,0,3
255,0,1
256,0,4
257,1,4
258,2,2
259,0,1
260,0,2
261,0,5
262,0,2
263,0,4
264,0,6
265,0,4
266,0,2
267,0,8
268,0,3
269,0,1
270,0,2
271,0,7
272,0,1
273,0,1
274,4,1
275,0,3
276,0,5
277,0,4
278,2,2
279,0,1
280,0,5
281,4,3
282,1,6
283,1,1
284,0,3
285,0,3
286,0,3
287,0,7
288,1,5
289,0,5
290,1,8
291,0,3
292,0,8
293,0,3
294,0,6
295,0,1
296,1,2
297,2,1
298,0,9
299,0,8
300,0,1
301,0,8
302,1,9
303,0,2
304,0,1
305,0,4
306,0,2
307,0,3
308,0,1
309,0,6
310,1,6
311,0,1
312,0,6
313,0,3
314,2,3
315,0,2
316,4,1
317,0,1
318,0,1
319,1,1
320,0,1
321,0,7
322,1,1
323,0,5
324,0,2
325,0,2
326,1,2
327,0,1
328,0,1
329,0,2
330,0,1
331,0,9
332,0,1
333,0,2
334,1,5
335,0,1
336,0,2
337,1,3
338,0,5
339,0,1
340,1,8
341,0,2
342,0,5
343,0,1
344,0,3
345,0,2
346,0,3
347,0,8
348,3,2
349,0,1
350,2,3
351,2,2
352,0,1
353,0,3
354,0,1
355,0,1
356,3,1
357,0,1
358,0,3
359,1,4
360,0,2
361,0,3
362,0,2
363,0,1
364,0,7
365,0,1
366,0,9
367,0,1
368,0,1
369,0,1
370,0,7
371,0,9
372,3,3
373,0,2
374,0,3
375,0,2
376,0,1
377,0,1
378,0,3
379,0,1
380,0,1
381,0,1
382,0,1
383,1,2
384,0,1
385,0,2
386,4,1
387,0,3
388,0,1
389,0,2
390,0,3
391,0,5
392,0,2
393,1,1
394,0,3
395,0,6
396,0,1
397,0,8
398,0,2
399,0,1
400,0,9
401,0,1
402,0,2
403,5,7
404,0,2
405,1,2
406,0,3
407,0,2
408,0,2
409,0,2
410,0,5
411,0,6
412,0,4
413,0,1
414,0,6
415,1,1
416,1,9
417,0,4
418,0,1
419,0,1
420,0,3
421,1,2
422,1,8
423,0,3
424,0,1
425,0,2
426,0,3
427,0,2
428,0,1
429,0,7
430,3,3
431,0,1
432,0,1
433,2,6
434,0,1
435,2,1
436,1,1
437,0,2
438,0,3
439,0,3
440,1,1
441,0,7
442,0,6
443,0,2
444,4,9
445,0,6
446,0,4
447,0,3
448,0,1
449,0,1
450,0,1
451,0,6
452,0,4
453,0,1
454,0,6
455,0,1
456,0,1
457,0,4
458,0,2
459,0,2
460,1,3
461,1,9
462,0,1
463,0,4
464,0,1
465,1,2
466,0,1
467,0,1
468,0,5
469,0,9
470,2,1
471,0,1
472,0,3
473,0,1
474,0,8
475,0,2
476,0,2
477,0,8
478,0,2
479,0,1
480,0,2
481,0,1
482,0,9
483,0,4
484,2,9
485,0,3
486,0,1
487,0,4
488,0,3
489,0,1
490,0,5
491,0,2
492,0,1
493,1,2
494,0,9
495,0,1
496,0,1
497,0,1
498,1,1
499,0,2
500,0,1
501,0,2
502,2,1
503,0,2
504,0,4
505,0,1
506,2,4
507,0,2
508,0,5
509,0,1
510,0,1
511,0,5
512,3,2
513,0,8
514,0,7
515,1,3
516,0,1
517,0,1
518,0,2
519,0,1
520,0,2
521,0,8
522,0,2
523,3,5
524,0,6
525,1,9
526,0,2
527,0,1
528,0,1
529,1,1
530,0,7
531,0,5
532,0,4
533,0,2
534,0,6
535,0,1
536,2,6
537,0,5
538,0,2
539,0,9
540,0,6
541,0,2
542,0,1
543,0,2
544,0,1
545,0,1
546,0,3
547,0,5
548,2,4
549,0,4
550,0,4
551,0,3
552,1,1
553,1,1
554,4,1
555,0,9
556,1,8
557,3,1
558,0,3
559,1,9
560,3,2
561,3,2
562,1,1
563,0,1
564,0,1
565,0,1
566,0,1
567,0,3
568,0,3
569,0,1
570,0,2
571,0,3
572,0,6
573,0,1
574,0,4
575,0,2
576,2,3
577,0,1
578,1,7
579,0,4
580,0,3
581,1,1
582,1,2
583,3,5
584,0,3
585,0,9
586,0,3
587,1,1
588,1,3
589,0,1
590,2,1
591,0,1
592,1,1
593,0,1
594,0,6
595,0,1
596,0,1
597,1,1
598,0,4
599,0,3
600,0,2
601,0,1
602,0,2
603,0,2
604,0,7
605,1,5
606,0,6
607,0,2
608,0,2
609,1,1
610,0,3
611,1,3
612,0,3
613,3,2
614,0,1
615,0,1
616,0,2
617,0,7
618,0,7
619,0,8
620,0,1
621,0,9
622,0,3
623,0,1
624,0,2
625,0,1
626,0,2
627,2,5
628,0,2
629,0,5
630,0,2
631,0,2
632,1,6
633,0,1
634,1,1
635,2,1
636,3,2
637,0,1
638,0,1
639,0,3
640,0,1
641,0,1
642,0,2
643,0,1
644,0,2
645,5,1
646,0,6
647,0,2
648,1,2
649,0,6
650,0,9
651,0,2
652,0,5
653,1,5
654,0,8
655,0,3
656,0,2
657,0,3
658,0,1
659,0,2
660,0,3
661,0,1
662,0,1
663,1,7
664,0,1
665,0,1
666,1,4
667,0,6
668,0,8
669,1,1
670,0,2
671,0,9
672,0,1
673,3,3
674,0,1
675,0,9
676,0,1
677,0,3
678,2,2
679,0,3
680,4,1
681,0,2
682,1,3
683,1,2
684,0,3
685,3,7
686,0,1
687,0,9
688,0,2
689,1,7
690,0,2
691,1,2
692,0,1
693,0,1
694,0,1
695,0,2
696,0,7
697,0,6
698,0,2
699,0,1
700,0,2
701,0,2
702,4,1
703,0,1
704,0,2
705,0,8
706,0,2
707,0,1
708,0,1
709,0,1
710,0,4
711,0,2
712,0,1
713,0,1
714,0,1
715,1,2
716,0,1
717,0,1
718,2,9
719,0,1
720,0,1
721,0,1
722,0,6
723,0,2
724,0,2
725,0,1
726,2,3
727,4,6
728,0,2
729,0,3
730,0,6
731,0,2
732,0,7
733,1,3
734,0,2
735,0,8
736,3,9
737,0,3
738,0,2
739,0,9
740,1,2
741,0,1
742,0,3
743,0,3
744,0,1
745,0,2
746,0,2
747,0,4
748,1,1
749,4,2
750,0,2
751,0,2
752,0,2
753,0,1
754,0,5
755,0,1
756,0,3
757,0,3
758,0,3
759,1,2
760,0,1
761,3,7
762,1,3
763,0,1
764,1,2
765,0,6
766,0,2
767,0,2
768,0,1
769,0,2
770,0,2
771,0,1
772,2,3
773,0,1
774,0,2
775,0,1
776,0,1
777,2,1
778,0,2
779,3,2
780,1,1
781,0,1
782,0,3
783,0,1
784,0,1
785,1,2
786,0,2
787,0,2
788,0,1
789,3,2
790,0,1
791,0,1
792,0,1
793,0,2
794,2,2
795,0,1
796,0,1
797,0,2
798,0,1
799,0,3
800,3,2
801,0,1
802,0,3
803,0,2
804,0,1
805,0,1
806,0,2
807,0,1
808,0,2
809,0,1
810,0,2
811,0,9
812,1,1
813,0,9
814,4,1
815,0,2
816,0,3
817,3,1
818,0,5
819,0,3
820,0,2
821,0,3
822,0,7
823,1,4
824,0,2
825,0,1
826,0,1
827,2,9
828,2,6
829,0,5
830,0,4
831,0,4
832,0,2
833,0,1
834,2,2
835,0,3
836,0,2
837,0,1
838,0,1
839,0,2
840,2,1
841,0,7
842,0,1
843,0,2
844,0,1
845,0,9
846,0,1
847,0,1
848,1,1
849,0,2
850,1,4
851,3,5
852,0,1
853,0,1
854,0,1
855,0,1
856,0,2
857,1,3
858,0,3
859,0,8
860,0,2
861,0,6
862,0,2
863,0,1
864,1,9
865,0,2
866,0,1
867,1,1
868,1,2
869,4,1
870,0,1
871,1,1
872,0,1
873,4,1
874,0,2
875,0,2
876,0,1
877,0,1
878,0,8
879,0,6
880,0,1
881,0,4
882,0,2
883,0,5
884,0,1
885,3,1
886,2,1
887,1,2
888,2,1
889,0,7
890,0,2
891,0,1
892,1,2
893,0,2
894,0,1
895,0,3
896,2,1
897,0,1
898,0,2
899,5,3
900,0,1
901,0,5
902,0,4
903,0,6
904,0,1
905,0,2
906,0,2
907,0,2
908,0,1
909,3,2
910,0,2
911,0,4
912,0,9
913,1,1
914,0,2
915,1,1
916,1,7
917,0,2
918,0,2
919,0,3
920,1,8
921,0,2
922,0,1
923,0,1
924,1,5
925,0,3
926,0,1
927,1,6
928,0,7
929,0,2
930,0,2
931,0,1
932,0,3
933,0,6
934,0,1
935,0,8
936,0,2
937,0,1
938,0,6
939,0,3
940,0,2
941,0,1
942,0,1
943,0,1
944,0,7
945,0,2
946,0,1
947,0,1
948,1,2
949,4,1
950,0,1
951,0,1
952,3,1
953,0,4
954,0,1
955,0,6
956,0,7
957,0,8
958,0,3
959,3,4
960,0,2
961,0,4
962,0,2
963,0,1
964,0,3
965,1,2
966,1,3
967,0,1
968,0,1
969,0,5
970,0,3
971,0,8
972,0,2
973,1,1
974,0,3
975,0,3
976,0,9
977,0,1
978,0,9
979,0,3
980,0,1
981,0,8
982,0,2
983,1,1
984,0,2
985,0,7
986,0,7
987,0,8
988,0,1
989,0,1
990,0,1
991,0,2
992,0,2
993,0,2
994,0,2
995,0,3
996,1,1
997,0,1
998,0,2
999,0,1
1000,0,9
1001,0,3
1002,1,2
1003,0,6
1004,0,2
1005,0,3
1006,0,1
1007,0,3
1008,0,2
1009,1,2
1010,0,5
1011,0,1
1012,0,2
1013,0,7
1014,0,2
1015,1,1
1016,0,2
1017,0,7
1018,0,1
1019,1,1
1020,0,1
1021,0,7
1022,0,1
1023,0,2
1024,0,2
1025,0,2
1026,0,1
1027,0,5
1028,0,1
1029,0,5
1030,1,6
1031,1,3
1032,0,2
1033,2,7
1034,0,1
1035,0,8
1036,0,2
1037,0,2
1038,0,1
1039,0,1
1040,0,2
1041,0,2
1042,2,1
1043,0,1
1044,0,1
1045,0,8
1046,0,9
1047,0,2
1048,0,1
1049,0,6
1050,0,1
1051,0,6
1052,0,3
1053,1,1
1054,0,3
1055,2,9
1056,0,1
1057,0,7
1058,0,1
1059,0,2
1060,0,7
1061,0,2
1062,0,1
1063,0,5
1064,0,1
1065,1,1
1066,1,1
1067,2,2
1068,0,1
1069,0,1
1070,0,9
1071,1,2
1072,0,1
1073,0,6
1074,0,1
1075,0,1
1076,0,1
1077,0,6
1078,1,2
1079,0,2
1080,0,1
1081,0,1
1082,0,3
1083,0,5
1084,0,2
1085,0,7
1086,0,1
1087,1,3
1088,1,4
1089,0,4
1090,0,2
1091,0,1
1092,0,4
1093,0,1
1094,0,1
1095,0,2
1096,3,1
1097,0,2
1098,0,1
1099,0,2
1100,0,7
1101,0,2
1102,0,4
1103,0,3
1104,1,3
1105,0,1
1106,0,1
1107,0,2
1108,0,4
1109,0,1
1110,0,8
1111,1,7
1112,0,1
1113,5,1
1114,0,1
1115,0,2
1116,0,6
1117,0,6
1118,1,1
1119,0,2
1120,0,2
1121,2,1
1122,0,2
1123,2,7
1124,0,8
1125,0,1
1126,1,3
1127,0,2
1128,0,2
1129,0,3
1130,0,2
1131,0,1
1132,0,2
1133,1,2
1134,1,1
1135,0,1
1136,0,5
1137,0,1
1138,0,1
1139,0,1
1140,0,2
1141,1,9
1142,0,2
1143,0,6
1144,0,2
1145,0,1
1146,0,9
1147,0,1
1148,0,1
1149,0,2
1150,0,4
1151,0,1
1152,0,1
1153,0,8
1154,1,2
1155,0,1
1156,0,2
1157,0,3
1158,0,3
1159,1,8
1160,0,1
1161,0,1
1162,1,2
1163,0,1
1164,0,1
1165,0,1
1166,1,9
1167,0,5
1168,0,1
1169,0,1
1170,1,1
1171,0,1
1172,0,4
1173,0,1
1174,0,2
1175,0,1
1176,3,5
1177,0,1
1178,0,1
1179,4,1
1180,0,2
1181,0,1
1182,0,2
1183,1,2
1184,2,2
1185,0,1
1186,0,6
1187,1,2
1188,0,6
1189,0,1
1190,1,2
1191,0,9
1192,0,2
1193,0,3
1194,0,8
1195,0,1
1196,1,6
1197,0,3
1198,0,2
1199,0,1
1200,0,7
1201,0,9
1202,0,1
1203,0,9
1204,1,3
1205,0,2
1206,0,1
1207,0,1
1208,0,9
1209,1,2
1210,0,2
1211,0,1
1212,4,3
1213,0,5
1214,1,2
1215,0,9
1216,0,2
1217,0,1
1218,1,2
1219,2,2
1220,0,3
1221,0,6
1222,0,2
1223,0,2
1224,0,6
1225,1,2
1226,0,6
1227,0,2
1228,0,7
1229,0,9
1230,0,1
1231,0,7
1232,0,3
1233,0,2
1234,1,9
1235,1,2
1236,0,2
1237,1,9
1238,0,2
1239,2,1
1240,0,4
1241,0,2
1242,0,3
1243,0,1
1244,2,4
1245,0,6
1246,0,1
1247,0,1
1248,0,1
1249,0,9
1250,0,9
1251,0,1
1252,0,9
1253,0,2
1254,0,3
1255,0,2
1256,0,1
1257,0,1
1258,0,3
1259,0,1
1260,0,1
1261,3,2
1262,0,1
1263,0,1
1264,0,7
1265,2,3
1266,0,2
1267,0,1
1268,0,3
1269,0,1
1270,0,9
1271,0,3
1272,0,6
1273,1,5
1274,0,5
1275,0,1
1276,1,1
1277,0,2
1278,0,2
1279,3,6
1280,0,1
1281,0,3
1282,0,2
1283,1,1
1284,0,6
1285,0,3
1286,0,1
1287,0,1
1288,1,1
1289,0,2
1290,0,2
1291,1,6
1292,0,1
1293,3,2
1294,0,1
1295,1,1
1296,1,2
1297,0,1
1298,0,2
1299,0,1
1300,0,8
1301,0,2
1302,0,3
1303,0,1
1304,0,2
1305,5,1
1306,1,2
1307,0,2
1308,0,6
1309,0,9
1310,0,1
1311,3,2
1312,0,2
1313,0,2
1314,0,5
1315,0,5
1316,0,2
1317,0,3
1318,1,1
1319,5,6
1320,0,1
1321,1,1
1322,0,1
1323,0,4
1324,0,1
1325,0,1
1326,2,2
1327,0,1
1328,3,2
1329,0,4
1330,0,2
1331,0,4
1332,0,1
1333,0,2
1334,2,1
1335,0,1
1336,0,1
1337,2,1
1338,0,7
1339,1,3
1340,0,2
1341,0,4
1342,0,5
1343,1,4
1344,0,1
1345,0,1
1346,2,6
1347,0,1
1348,0,1
1349,0,3
1350,0,1
1351,0,6
1352,0,8
1353,0,1
1354,0,1
1355,0,1
1356,3,5
1357,0,1
1358,1,1
1359,3,2
1360,0,2
1361,0,2
1362,0,1
1363,0,1
1364,0,7
1365,0,1
1366,0,8
1367,3,3
1368,0,1
1369,0,8
1370,0,1
1371,2,1
1372,0,1
1373,0,4
1374,0,7
1375,0,3
1376,1,1
1377,0,5
1378,0,1
1379,0,2
1380,0,3
1381,0,1
1382,0,2
1383,0,9
1384,0,6
1385,0,1
1386,0,5
1387,0,9
1388,0,1
1389,0,3
1390,2,2
1391,0,1
1392,0,2
1393,5,8
1394,0,2
1395,0,1
1396,0,2
1397,0,2
1398,0,2
1399,0,2
1400,0,2
1401,0,9
1402,0,4
1403,0,1
1404,1,2
1405,0,3
1406,0,2
1407,0,2
1408,0,5
1409,0,1
1410,1,1
1411,0,1
1412,2,9
1413,0,5
1414,0,1
1415,1,2
1416,0,1
1417,0,6
1418,0,1
1419,0,2
1420,1,2
1421,4,6
1422,0,2
1423,3,1
1424,0,1
1425,0,2
1426,0,1
1427,0,1
1428,0,1
1429,4,2
1430,0,1
1431,0,7
1432,2,1
1433,0,1
1434,0,1
1435,1,2
1436,4,1
1437,1,2
1438,0,1
1439,2,6
1440,0,5
1441,2,1
1442,0,2
1443,1,7
1444,0,1
1445,0,4
1446,0,1
1447,0,1
1448,0,3
1449,0,8
1450,0,2
1451,0,1
1452,0,8
1453,0,1
1454,0,3
1455,0,1
1456,0,1
1457,0,6
1458,0,3
1459,0,1
1460,0,8
1461,0,2
1462,0,2
1463,0,3
1464,0,2
1465,1,1
1466,0,2
1467,1,2
1468,0,3
1469,0,3
1470,0,2
1471,0,9
1472,1,1
1473,3,7
1474,0,9
1475,0,6
1476,0,3
1477,2,1
1478,0,1
1479,2,2
1480,0,1
1481,0,4
1482,0,1
1483,2,1
1484,0,1
1485,0,8
1486,0,7
1487,0,1
1488,0,3
1489,0,8
1490,0,2
1491,0,1
1492,1,1
1493,2,1
1494,0,1
1495,0,1
1496,0,1
1497,0,3
1498,0,3
1499,0,2
1500,0,2
1501,0,6
1502,0,1
1503,0,1
1504,0,1
1505,0,1
1506,0,2
1507,0,1
1508,0,9
1509,0,3
1510,0,1
1511,0,2
1512,0,1
1513,1,5
1514,0,2
1515,0,1
1516,3,7
1517,0,8
1518,0,4
1519,0,1
1520,0,1
1521,0,2
1522,1,2
1523,0,1
1524,1,2
1525,0,1
1526,0,2
1527,2,1
1528,0,1
1529,5,2
1530,0,2
1531,0,1
1532,2,2
1533,0,1
1534,0,1
1535,0,2
1536,1,1
1537,0,1
1538,0,7
1539,0,2
1540,2,1
1541,0,5
1542,2,7
1543,0,3
1544,0,6
1545,1,1
1546,0,4
1547,0,2
1548,0,2
1549,0,2
1550,0,2
1551,0,1
1552,0,1
1553,0,1
1554,0,2
1555,0,3
1556,0,1
1557,0,3
1558,0,2
1559,2,1
1560,1,3
1561,3,2
1562,0,9
1563,0,2
1564,0,5
1565,0,2
1566,0,9
1567,0,9
1568,0,8
1569,1,6
1570,0,8
1571,0,1
1572,0,2
1573,0,2
1574,0,1
1575,0,2
1576,0,1
1577,0,1
1578,0,1
1579,0,2
1580,2,2
1581,0,6
1582,0,3
1583,0,1
1584,0,3
1585,1,1
1586,0,1
1587,0,3
1588,0,1
1589,0,2
1590,0,6
1591,0,1
1592,0,2
1593,0,1
1594,0,3
