income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
56274,69,32,5,0,1,384.811147
0,94,13,42,0,8,1131.464935
48767,108,18,38,0,2,566.472247
0,106,18,65,0,7,529.881344
43836,73,12,44,0,1,138.130879
62902,69,14,94,0,2,159.383042
55350,67,0,13,0,9,321.6
0,101,0,68,0,4,363.02968
14072,71,13,3,0,2,511.2
28812,93,17,7,0,8,425.527834
0,67,23,5,0,3,482.4
0,110,27,87,0,3,528.0
77026,110,9,82,2,3,472.029737
99845,110,23,25,1,8,528.0
83689,70,21,10,2,8,307.139132
24599,64,12,50,1,2,42.920271
25049,67,14,7,0,1,454.245098
28855,101,12,59,0,1,647.442031
51148,72,9,1,0,7,308.981664
66140,101,11,21,0,3,484.8
57749,74,31,21,0,1,355.2
13789,79,8,49,0,1,379.2
14072,71,13,3,0,2,511.2
0,73,4,44,3,1,554.376763
17870,61,30,91,0,1,439.2
97541,72,22,1,0,3,389.185006
0,111,15,47,0,1,799.2
10511,139,33,64,0,1,516.237951
86584,111,33,54,2,2,532.8
75690,80,17,44,1,1,384.0
23158,63,4,6,1,1,322.294043
65999,237,1,14,0,6,615.927769
0,65,19,56,0,3,308.15089
54500,63,28,17,0,6,302.4
37260,62,19,42,0,8,15.437681
68987,71,11,40,0,6,204.475147
42305,117,10,62,0,2,561.6
65706,91,19,86,0,8,436.8
0,90,7,79,0,1,648.0
53243,66,4,15,2,1,157.397849
0,70,7,1,1,1,484.318536
50071,71,3,32,0,1,18.918935
60021,99,12,28,0,1,882.871945
43244,103,15,16,0,2,494.4
92834,61,15,56,0,1,292.8
10105,172,5,4,3,3,0.517753
0,73,7,57,3,5,579.165954
23218,71,7,10,0,4,447.79344
0,92,11,77,0,1,529.624084
0,62,11,56,0,1,313.023175
24804,104,1,28,0,2,593.830288
33190,106,18,95,0,2,508.8
36014,69,4,40,3,2,173.956072
29834,64,19,44,0,3,307.2
16701,113,20,26,0,1,831.625979
46623,91,1,53,0,3,436.8
64749,64,24,59,0,2,302.56519
0,101,29,12,0,1,484.8
16969,124,34,47,2,1,704.768111
11621,108,4,98,0,1,518.4
17622,65,1,36,1,3,312.0
11489,105,4,50,0,6,504.0
0,94,20,53,0,1,863.327324
66525,100,0,86,0,2,104.331355
0,63,21,28,0,2,676.391482
33663,73,29,71,0,1,350.4
22547,112,7,60,0,3,537.6
61486,97,5,65,0,2,465.258644
0,95,13,20,0,5,456.0
29879,102,17,0,0,2,500.254235
93011,113,17,12,0,2,281.451042
65186,65,29,27,0,1,5.434505
26840,64,1,47,2,1,307.2
0,104,30,3,1,5,982.399613
75644,65,5,68,3,9,467.803638
38984,73,27,38,0,2,350.4
71811,71,17,48,0,6,29.03416
20961,67,20,33,0,2,321.6
38923,99,6,83,2,2,115.728852
61321,186,0,30,1,2,427.63121
0,77,20,26,0,2,25.807685
51066,74,23,0,0,8,787.993313
34378,102,12,54,0,1,489.6
43072,63,35,15,0,1,302.4
25222,90,28,69,0,3,475.623251
36765,66,15,32,1,2,320.849072
23091,96,28,90,5,5,460.8
48269,69,3,79,3,1,282.151207
32720,67,13,12,0,1,321.6
20396,76,15,60,1,4,364.8
21513,119,21,81,1,2,679.827592
72540,88,7,3,0,2,631.743039
80744,63,24,84,0,1,11.879037
52822,67,23,88,0,1,350.529033
0,77,8,10,1,9,863.3947
69738,74,2,26,1,2,492.127532
17780,109,12,18,0,9,132.588288
18107,62,29,11,0,8,297.6
57740,74,30,87,3,9,269.905129
32627,76,11,60,0,7,380.036697
0,107,3,65,0,3,513.6
0,70,24,10,0,1,425.266308
65795,62,2,85,1,3,49.011099
60475,107,9,18,0,1,513.6
0,130,28,88,0,4,936.0
41837,88,29,93,0,9,142.062768
32303,65,13,34,0,2,45.152521
0,117,5,89,1,3,561.6
40531,74,17,32,0,9,30.567357
79898,62,5,86,1,1,271.606799
56398,85,4,18,0,7,408.0
35257,98,16,2,1,8,470.4
27804,109,19,54,0,7,784.8
45506,66,16,32,2,2,316.8
65196,67,0,54,0,2,396.082036
0,102,11,70,1,3,489.6
20993,133,35,90,0,1,638.4
37839,86,35,77,0,9,465.633954
92711,62,24,10,0,1,368.400146
74665,78,10,90,2,1,236.902001
0,83,26,89,0,1,582.679087
46833,112,6,3,0,9,64.109663
88768,68,17,77,0,7,326.4
28262,192,9,77,0,3,921.6
33555,63,17,11,0,1,101.89645
42780,113,10,27,1,2,542.4
58850,78,20,26,0,1,143.747794
21880,97,29,37,0,1,424.077159
25251,66,13,43,0,2,316.8
0,69,9,12,0,2,2.704934
24188,109,14,82,0,1,523.2
41611,74,14,8,0,8,113.801497
28406,72,16,35,1,4,192.87572
69833,118,32,99,0,1,828.662719
0,74,15,91,0,2,532.8
0,117,6,1,0,1,975.107098
80536,119,5,83,0,3,53.798708
0,63,2,5,0,1,606.642452
97732,79,0,70,0,2,289.9122
61222,89,20,55,0,2,392.604371
0,74,7,20,0,1,721.242206
50335,140,9,54,0,1,456.52385
0,127,30,11,0,6,1087.995426
63221,168,28,49,0,1,806.4
0,96,31,34,0,1,460.8
64495,92,34,30,0,1,251.992083
0,72,7,75,0,2,345.6
28859,67,24,51,3,4,321.6
77330,99,0,21,0,3,99.257608
