Customer,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
BU79786,2763.519279,56274,69,32,5,0,1,384.811147
QZ44356,6979.535903,0,94,13,42,0,8,1131.464935
AI49188,12887.43165,48767,108,18,38,0,2,566.472247
WW63253,7645.861827,0,106,18,65,0,7,529.881344
HB64268,2813.692575,43836,73,12,44,0,1,138.130879
OC83172,8256.2978,62902,69,14,94,0,2,159.383042
XZ87318,5380.898636,55350,67,0,13,0,9,321.6
CF85061,7216.100311,0,101,0,68,0,4,363.02968
DY87989,24127.50402,14072,71,13,3,0,2,511.2
BQ94931,7388.178085,28812,93,17,7,0,8,425.527834
SX51350,4738.992022,0,67,23,5,0,3,482.4
VQ65197,8197.197078,0,110,27,87,0,3,528.0
DP39365,8798.797003,77026,110,9,82,2,3,472.029737
SJ95423,8819.018934,99845,110,23,25,1,8,528.0
IL66569,5384.431665,83689,70,21,10,2,8,307.139132
BW63560,7463.139377,24599,64,12,50,1,2,42.920271
FV94802,2566.867823,25049,67,14,7,0,1,454.245098
OE15005,3945.241604,28855,101,12,59,0,1,647.442031
WC83389,5710.333115,51148,72,9,1,0,7,308.981664
FL50705,8162.617053,66140,101,11,21,0,3,484.8
ZK25313,2872.051273,57749,74,31,21,0,1,355.2
SV62436,3041.791561,13789,79,8,49,0,1,379.2
YH23384,24127.50402,14072,71,13,3,0,2,511.2
TZ98966,2450.190996,0,73,4,44,3,1,554.376763
HM55802,2392.10789,17870,61,30,91,0,1,439.2
FS42516,5802.065978,97541,72,22,1,0,3,389.185006
US89481,3946.372085,0,111,15,47,0,1,799.2
HO30839,5346.916576,10511,139,33,64,0,1,516.237951
GE62437,12902.56014,86584,111,33,54,2,2,532.8
EJ77678,3235.360468,75690,80,17,44,1,1,384.0
SV85652,2454.58354,23158,63,4,6,1,1,322.294043
UL64533,18975.45611,65999,237,1,14,0,6,615.927769
PF41800,4715.321344,0,65,19,56,0,3,308.15089
AO98601,5018.885233,54500,63,28,17,0,6,302.4
SK67821,4932.916345,37260,62,19,42,0,8,15.437681
YV55495,5744.229745,68987,71,11,40,0,6,204.475147
KY38074,13891.73567,42305,117,10,62,0,2,561.6
DM79012,7380.976717,65706,91,19,86,0,8,436.8
CM61827,3090.034104,0,90,7,79,0,1,648.0
WC35801,2521.633095,53243,66,4,15,2,1,157.397849
QG25316,2652.061785,0,70,7,1,1,1,484.318536
MB98372,2771.045031,50071,71,3,32,0,1,18.918935
IL19217,3939.00637,60021,99,12,28,0,1,882.871945
SR38658,12231.87968,43244,103,15,16,0,2,494.4
DH41343,2443.665166,92834,61,15,56,0,1,292.8
HG65722,12819.10289,10105,172,5,4,3,3,0.517753
BU27331,4468.510542,0,73,7,57,3,5,579.165954
XM45289,5514.344018,23218,71,7,10,0,4,447.79344
KP34198,3343.875326,0,92,11,77,0,1,529.624084
SH90947,2294.478927,0,62,11,56,0,1,313.023175
WE95729,36707.42639,24804,104,1,28,0,2,593.830288
PY51963,33473.34946,33190,106,18,95,0,2,508.8
RB69909,7983.431709,36014,69,4,40,3,2,173.956072
XR95069,4854.745666,29834,64,19,44,0,3,307.2
