,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,2763.519279,56274.0,69.0,32.0,5.0,0,1,384.811147
1,6979.535903,0.0,94.0,13.0,42.0,0,8,434.0887943128942
2,12887.43165,48767.0,108.0,18.0,38.0,0,2,566.472247
3,7645.861827,0.0,106.0,18.0,65.0,0,7,529.881344
4,2813.692575,43836.0,73.0,12.0,44.0,0,1,138.130879
5,8256.2978,62902.0,69.0,14.0,94.0,0,2,159.383042
6,5380.898636,55350.0,67.0,0.0,13.0,0,9,321.6
7,7216.100311,0.0,101.0,0.0,68.0,0,4,363.02968
8,8004.9404749870755,14072.0,71.0,13.0,3.0,0,2,511.2
9,7388.178085,28812.0,93.0,17.0,7.0,0,8,425.527834
10,4738.992022,0.0,67.0,23.0,5.0,0,3,482.4
11,8197.197078,0.0,110.0,27.0,87.0,0,3,528.0
12,8798.797003,77026.0,110.0,9.0,82.0,2,3,472.029737
13,8819.018934,99845.0,110.0,23.0,25.0,1,8,528.0
14,5384.431665,83689.0,70.0,21.0,10.0,2,8,307.139132
15,7463.139377,24599.0,64.0,12.0,50.0,1,2,42.920271
16,2566.867823,25049.0,67.0,14.0,7.0,0,1,454.245098
17,3945.241604,28855.0,101.0,12.0,59.0,0,1,647.442031
18,5710.333115,51148.0,72.0,9.0,1.0,0,7,308.981664
19,8162.617053,66140.0,101.0,11.0,21.0,0,3,484.8
20,2872.051273,57749.0,74.0,31.0,21.0,0,1,355.2
21,3041.791561,13789.0,79.0,8.0,49.0,0,1,379.2
22,8004.9404749870755,14072.0,71.0,13.0,3.0,0,2,511.2
23,2450.190996,0.0,73.0,4.0,44.0,3,1,554.376763
24,2392.10789,17870.0,61.0,30.0,91.0,0,1,439.2
25,5802.065978,97541.0,72.0,22.0,1.0,0,3,389.185006
26,3946.372085,0.0,111.0,15.0,47.0,0,1,799.2
27,5346.916576,10511.0,139.0,33.0,64.0,0,1,516.237951
28,12902.56014,86584.0,111.0,33.0,54.0,2,2,532.8
29,3235.360468,75690.0,80.0,17.0,44.0,1,1,384.0
30,2454.58354,23158.0,63.0,4.0,6.0,1,1,322.294043
31,8004.9404749870755,65999.0,93.21929056273265,1.0,14.0,0,6,615.927769
32,4715.321344,0.0,65.0,19.0,56.0,0,3,308.15089
33,5018.885233,54500.0,63.0,28.0,17.0,0,6,302.4
34,4932.916345,37260.0,62.0,19.0,42.0,0,8,15.437681
35,5744.229745,68987.0,71.0,11.0,40.0,0,6,204.475147
36,13891.73567,42305.0,117.0,10.0,62.0,0,2,561.6
37,7380.976717,65706.0,91.0,19.0,86.0,0,8,436.8
38,3090.034104,0.0,90.0,7.0,79.0,0,1,648.0
39,2521.633095,53243.0,66.0,4.0,15.0,2,1,157.397849
40,2652.061785,0.0,70.0,7.0,1.0,1,1,484.318536
41,2771.045031,50071.0,71.0,3.0,32.0,0,1,18.918935
42,3939.00637,60021.0,99.0,12.0,28.0,0,1,882.871945
