,customer,state,response,coverage,education,effective_to_date,employmentstatus,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,gender_f,gender_m,policy_combined,corporate_auto,personal_auto,special_auto,customer_lifetime_value,total_claim_amount,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
0,BU79786,Washington,0,Basic,Bachelor,2011-02-24,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,2763.519279,384.811147,56274,69,32,5,0,1
1,AI49188,Nevada,0,Premium,Bachelor,2011-02-19,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,12887.43165,566.472247,48767,108,18,38,0,2
2,WW63253,California,0,Basic,Bachelor,2011-01-20,Unemployed,Suburban,Married,Offer1,Call Center,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0,7645.861827,529.881344,0,106,18,65,0,7
3,HB64268,Washington,0,Basic,Bachelor,2011-02-03,Employed,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0,2813.692575,138.130879,43836,73,12,44,0,1
4,OC83172,Oregon,1,Basic,Bachelor,2011-01-25,Employed,Rural,Married,Offer2,Web,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0,8256.2978,159.383042,62902,69,14,94,0,2
5,XZ87318,Oregon,1,Basic,College,2011-02-24,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0,5380.898636,321.6,55350,67,0,13,0,9
6,CF85061,Arizona,0,Premium,Master,2011-01-18,Unemployed,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0,7216.100311,363.02968,0,101,0,68,0,4
7,BQ94931,Oregon,0,Extended,College,2011-02-17,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Special Auto_L2,0,0,1,7388.178085,425.527834,28812,93,17,7,0,8
8,SX51350,California,0,Basic,College,2011-02-21,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0,4738.992022,482.4,0,67,23,5,0,3
9,VQ65197,California,0,Basic,College,2011-01-06,Unemployed,Suburban,Married,Offer2,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0,8197.197078,528.0,0,110,27,87,0,3
