,Customer,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer_id,Year,Effective To Date
0,BU,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize,79786,2011,2011-02-24
1,QZ,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,44356,2011,2011-01-31
2,AI,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,49188,2011,2011-02-19
3,WW,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize,63253,2011,2011-01-20
4,HB,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,64268,2011,2011-02-03
5,OC,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,83172,2011,2011-01-25
6,XZ,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,87318,2011,2011-02-24
7,CF,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,85061,2011,2011-01-18
8,DY,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,87989,2011,2011-01-26
9,BQ,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize,94931,2011,2011-02-17
10,SX,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,51350,2011,2011-02-21
11,VQ,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,65197,2011,2011-01-06
12,DP,California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,39365,2011,2011-02-06
13,SJ,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize,95423,2011,2011-01-10
14,IL,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize,66569,2011,2011-01-18
