,total_claim_amount
0,384.811147
1,566.472247
2,529.881344
3,138.130879
4,159.383042
5,363.02968
6,425.527834
7,482.4
8,528.0
9,472.029737
10,528.0
11,307.139132
12,42.920271
13,454.245098
14,647.442031
15,308.981664
16,484.8
17,355.2
18,379.2
19,554.376763
20,439.2
21,389.185006
22,799.2
23,516.237951
24,532.8
25,384.0
26,322.294043
27,308.15089
28,302.4
29,15.437681
30,204.475147
31,561.6
32,436.8
33,648.0
34,157.397849
35,484.318536
36,18.918935
37,882.871945
38,494.4
39,292.8
40,579.165954
41,447.79344
42,529.624084
43,313.023175
44,173.956072
45,307.2
46,831.625979
47,436.8
48,302.56519
49,484.8
50,704.768111
51,518.4
52,312.0
53,504.0
54,863.327324
55,676.391482
56,350.4
57,537.6
58,465.258644
59,456.0
60,500.254235
61,5.434505
62,307.2
63,350.4
64,29.03416
65,321.6
66,115.728852
67,25.807685
68,787.993313
69,489.6
70,302.4
71,475.623251
72,320.849072
73,460.8
74,282.151207
75,321.6
76,364.8
77,679.827592
78,631.743039
79,11.879037
80,350.529033
81,297.6
82,380.036697
83,513.6
84,425.266308
85,49.011099
86,513.6
87,45.152521
88,561.6
89,271.606799
90,408.0
91,470.4
92,784.8
93,316.8
94,489.6
95,638.4
96,368.400146
97,236.902001
98,582.679087
99,326.4
100,101.89645
101,143.747794
102,424.077159
103,316.8
104,2.704934
105,523.2
106,113.801497
107,192.87572
108,828.662719
109,532.8
110,53.798708
111,606.642452
112,289.9122
113,392.604371
114,721.242206
115,456.52385
116,460.8
117,251.992083
118,345.6
119,321.6
120,99.257608
121,504.0
122,336.0
123,604.8
124,8.312729
125,316.599228
126,312.0
127,56.300724
128,393.6
129,701.708239
130,128.705563
131,679.368378
132,497.126827
133,566.4
134,347.857619
135,554.4
136,465.41477
137,496.8
138,292.8
139,542.319401
140,25.438063
141,292.8
142,787.993313
143,84.024413
144,215.8182
145,232.926145
146,532.8
147,710.433775
148,552.0
149,408.374746
150,408.0
151,792.0
152,532.8
153,754.358929
154,702.990032
155,206.837111
156,275.395894
157,459.738128
158,496.8
159,336.0
160,321.6
161,302.4
162,430.994107
163,67.632476
164,364.8
165,722.486994
166,590.4
167,481.027516
168,669.682001
169,240.259479
170,556.8
171,115.086827
172,470.4
173,321.6
174,383.167471
175,307.963291
176,355.2
177,520.364752
178,466.436375
179,451.670309
180,537.6
181,345.6
182,355.2
183,331.2
184,398.4
185,494.4
186,369.6
187,156.124914
188,350.4
189,231.201886
190,729.6
191,326.4
192,350.4
193,639.464548
194,292.8
195,383.442328
196,316.8
197,99.085943
198,307.2
199,566.935022
200,436.8
201,412.8
202,307.2
203,321.6
204,773.470977
205,523.2
206,508.8
207,364.240307
208,638.4
209,354.729129
210,283.995953
211,403.2
212,20.543176
213,140.165035
214,321.6
215,398.4
216,102.879769
217,463.158502
218,205.444066
219,741.6
220,813.6
221,494.4
222,795.864079
223,614.4
224,72.438681
225,532.8
226,67.881546
227,641.388616
228,342.481173
229,331.2
230,340.8
231,412.101933
232,73.700573
233,374.4
234,350.4
235,345.6
236,722.024742
237,259.361117
238,537.6
239,396.295614
240,653.388564
241,121.032372
242,92.813396
243,528.0
244,159.636956
245,727.2
246,321.6
247,42.078345
248,676.944023
249,566.4
250,580.473259
251,60.036683
252,321.6
253,47.53101
254,303.872752
255,100.620067
256,481.339891
257,508.8
258,86.320022
259,470.4
260,667.2
261,56.60333
262,262.865172
263,309.577946
264,350.4
265,365.364581
266,384.0
267,705.6
268,9.51528
269,244.564334
270,639.105556
271,453.6
272,511.2
273,554.522969
274,336.0
275,402.449823
276,327.020539
277,5.3953
278,131.401291
279,99.382943
280,856.8
281,518.4
282,292.8
283,340.8
284,350.4
285,340.8
286,260.879903
287,64.546877
288,441.6
289,37.910623
290,345.6
291,94.030308
292,331.2
293,355.2
294,286.234931
295,316.8
296,466.570791
297,364.8
298,331.2
299,312.0
300,421.484456
301,398.502948
302,7.646763
303,55.510526
304,351.270869
305,647.454583
306,128.43823
307,480.0
308,518.4
309,379.2
310,244.362072
311,201.455005
312,297.6
313,552.0
314,741.418485
315,305.575785
316,376.126419
317,701.708239
318,176.819414
319,104.454624
320,468.0
321,121.306839
322,460.8
323,67.859881
324,539.843003
325,556.8
326,350.4
327,765.709629
328,321.6
329,19.938981
330,268.819985
331,331.2
332,297.6
333,412.8
334,806.4
335,532.8
336,691.412378
337,804.811859
338,50.587035
339,537.6
340,347.075948
341,271.697529
342,638.4
343,639.45899
344,345.6
345,528.0
346,595.2
347,624.0
348,355.2
349,235.220971
350,395.34111
351,542.4
352,772.798511
353,633.6
354,350.4
355,307.2
356,633.6
357,504.0
358,845.654042
359,92.915251
360,668.29397
361,700.901632
362,525.6
363,25.299
364,375.330097
365,418.233667
366,398.240791
367,338.619869
368,339.344531
369,302.818833
370,326.4
371,259.561195
372,336.0
373,179.161843
374,662.4
375,75.501852
376,84.026848
377,139.489926
378,607.4459
379,631.124372
380,628.023494
381,336.0
382,426.655599
383,91.417923
384,317.844812
385,460.8
386,156.124914
387,362.774545
388,614.675906
389,662.4
390,331.2
391,145.252168
392,374.240783
393,355.2
394,528.0
395,619.2
396,561.6
397,504.0
398,460.8
399,468.566133
400,842.43785
401,475.2
402,268.471802
403,494.4
404,475.2
405,138.722385
406,467.24802
407,467.503236
408,667.2
409,619.973889
410,321.6
411,384.0
412,251.774574
413,866.208321
414,787.993313
415,619.2
416,72.852047
417,302.4
418,316.8
419,489.6
420,56.60333
421,259.060862
422,456.0
423,364.8
424,470.4
425,299.356083
426,699.1679
427,117.959654
428,545.240341
429,66.568642
430,722.178166
431,609.6
432,542.4
433,532.8
434,369.614729
435,655.41333
436,312.0
437,345.6
438,673.34265
439,619.2
440,513.6
441,23.810491
442,451.2
443,307.2
444,408.0
445,231.922173
446,292.8
447,46.492039
448,432.0
449,78.085149
450,564.466556
451,739.2
452,792.0
453,289.040734
454,155.938593
455,302.4
456,326.549425
457,653.65668
458,103.935601
459,809.532341
460,321.6
461,528.0
462,312.0
463,580.72531
464,59.987126
465,238.005074
466,245.447622
467,135.26125
468,571.2
469,566.4
470,297.6
471,312.0
472,637.063458
473,537.6
474,460.8
475,75.936096
476,799.2
477,603.058114
478,67.530904
479,312.921256
480,166.937747
481,566.4
482,135.382194
483,17.742954
484,1.838367
485,197.776009
486,331.2
487,316.8
488,600.0
489,542.4
490,392.6364
491,215.226476
492,160.598662
493,371.803029
494,312.0
495,443.670399
496,612.300581
497,290.391526
498,316.795337
499,405.527937
500,208.598246
501,301.437365
502,456.473115
503,152.338562
504,491.755368
505,430.375049
506,633.6
507,350.4
508,246.489123
509,128.969729
510,185.355353
511,9.071305
512,133.475315
513,321.6
514,623.223617
515,427.2
516,326.4
517,321.6
518,494.4
519,211.336937
520,227.872071
521,862.762957
522,513.6
523,537.6
524,225.145949
525,456.0
526,182.432565
527,644.755653
528,525.6
529,333.886816
530,311.103582
531,212.391975
532,297.6
533,174.041566
534,257.900458
535,486.278557
536,345.6
537,1.924709
538,518.4
539,326.4
540,262.12205
541,541.695658
542,326.4
543,456.0
544,63.043197
545,15.631363
546,441.6
547,375.866091
548,364.8
549,355.2
550,113.450122
551,16.03451
552,615.27228
553,615.256301
554,74.523935
555,426.072946
556,169.287785
557,419.464143
558,201.455005
559,662.69318
560,494.4
561,494.4
562,326.4
563,669.6
564,141.199465
565,58.557552
566,302.4
567,316.8
568,8.582971
569,285.418473
570,566.4
571,410.508316
572,244.23135
573,218.598065
574,643.826716
575,336.0
576,497.047297
577,657.6
578,5.622751
579,292.8
580,333.5671
581,667.2
582,34.651305
583,678.100487
584,525.6
585,292.8
586,292.8
587,174.588413
588,159.391681
589,698.4
590,232.711071
591,190.43446
592,79.865605
593,393.6
594,382.085897
595,48.348319
596,528.0
597,561.414794
598,23.820158
599,407.99684
600,844.229478
601,345.6
602,340.306584
603,626.116259
604,56.60333
605,784.65781
606,441.6
607,398.502948
608,63.516572
609,120.015609
610,316.8
611,82.041684
612,22.819088
613,302.4
614,422.4
615,316.8
616,489.6
617,312.0
618,468.0
619,511.497882
620,494.4
621,239.540223
622,518.180364
623,715.252366
624,156.124914
625,402.070719
626,94.814032
627,456.0
628,523.2
629,571.2
630,513.6
631,504.0
632,73.883044
633,632.715382
634,355.2
635,4.238626
636,42.248087
637,739.2
638,270.002766
639,292.8
640,494.946438
641,142.567008
642,425.266308
643,312.0
644,326.4
645,251.334247
646,369.818708
647,161.419528
648,537.6
649,292.8
650,312.0
651,255.999709
652,484.8
653,61.769564
654,141.799422
655,49.797016
656,372.175592
657,542.14385
658,504.0
659,768.0
660,720.601429
661,576.0
662,481.025786
663,466.176731
664,159.266473
665,547.2
666,503.808329
667,859.599411
668,305.653785
669,278.902846
670,139.963594
671,174.041566
672,321.6
673,37.299865
674,513.6
675,446.4
676,72.205362
677,292.8
678,475.2
679,331.2
680,331.2
681,401.592109
682,253.183568
683,643.2
684,799.673766
685,727.2
686,91.834668
687,27.987867
688,270.563995
689,292.8
690,158.077504
691,667.2
692,148.173152
693,404.265696
694,18.918935
695,268.471802
696,131.828507
697,628.8
698,392.235698
699,0.382107
700,51.961915
701,350.4
702,379.2
703,297.6
704,571.2
705,350.853987
706,217.973168
707,441.6
708,25.934064
709,297.6
710,84.218363
711,628.8
712,321.6
713,153.205591
